ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,D3_A_1.jpeg,A,D3,1
2,D3_A_2.jpeg,A,D3,8
3,D3_A_3.jpeg,A,D3,13
4,D3_A_4.jpeg,A,D3,20
5,D3_B_5.jpeg,B,D3,2
6,D3_B_6.jpeg,B,D3,9
7,D3_B_7.jpeg,B,D3,10
8,D3_B_8.jpeg,B,D3,16
9,D3_C_9.jpeg,C,D3,5
10,D3_C_10.jpeg,C,D3,11
11,D3_C_11.jpeg,C,D3,12
12,D3_C_12.jpeg,C,D3,19
13,D3_D_13.jpeg,D,D3,3
14,D3_D_14.jpeg,D,D3,4
15,D3_D_15.jpeg,D,D3,6
16,D3_D_16.jpeg,D,D3,7
17,D3_D_17.jpeg,D,D3,14
18,D3_D_18.jpeg,D,D3,15
19,D3_D_19.jpeg,D,D3,17
20,D3_D_20.jpeg,D,D3,18
21,D3_D_21.jpeg,D,D3,21
22,D3_D_22.jpeg,D,D3,22
23,D3_D_23.jpeg,D,D3,23
24,D3_D_24.jpeg,D,D3,24
