ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,S3_A_1.jpeg,A,S3,1
2,S3_A_2.jpeg,A,S3,8
3,S3_A_3.jpeg,A,S3,13
4,S3_A_4.jpeg,A,S3,20
5,S3_B_5.jpeg,B,S3,2
6,S3_B_6.jpeg,B,S3,9
7,S3_B_7.jpeg,B,S3,10
8,S3_B_8.jpeg,B,S3,16
9,S3_C_9.jpeg,C,S3,5
10,S3_C_10.jpeg,C,S3,11
11,S3_C_11.jpeg,C,S3,12
12,S3_C_12.jpeg,C,S3,19
13,S3_D_13.jpeg,D,S3,3
14,S3_D_14.jpeg,D,S3,4
15,S3_D_15.jpeg,D,S3,6
16,S3_D_16.jpeg,D,S3,7
17,S3_D_17.jpeg,D,S3,14
18,S3_D_18.jpeg,D,S3,15
19,S3_D_19.jpeg,D,S3,17
20,S3_D_20.jpeg,D,S3,18
21,S3_D_21.jpeg,D,S3,21
22,S3_D_22.jpeg,D,S3,22
23,S3_D_23.jpeg,D,S3,23
24,S3_D_24.jpeg,D,S3,24
